COUNTRY,YEAR,VACCINECODE,INTERVENTION,SCHEDULEROUNDS,TARGETPOP,GEOAREA,AGEADMINISTERED,SUBNATIONAL_TARGET,SOURCECOMMENT,COMMENTORIGINAL,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP
UGA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
UGA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions, other groups",,Updated eJRF 2024 received 25/Jun/2025,,,
UGA,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
NGA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
NGA,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
NGA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
NGA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
GHA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
GHA,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
GHA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
GHA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
GIN,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
GIN,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
GIN,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
GIN,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
AUT,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
AUT,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
AUT,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
AUT,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
AUT,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
SWZ,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
SWZ,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
